,LLM-Centric,Alignment-Based
10,"Nature-based 旅游业 attracts 那些对自然地区感兴趣的游客 interested in visiting natural 地区 for the 观赏 of enjoying the 自然风景, including 野生动植物 and animal 在内. 现场活动 of on-site 活动 include hunting, fishing, 摄影, 观鸟 watching, and visiting 公园 and studying 生态系统 about the 生态系统. An 例如 is visiting, photographing, and learning about 红毛猩猩 in Borneo.","Every 早上, 人们 leave small 乡镇 in 车 to go their 工作地点 and are passed by 他人 whose 工作 目的地 is the 地方 they have just left. In this dynamic 交通 穿梭 每个人 is somehow connected with, and supporting, a 交通 系统 based on private 车. 科学 now indicates that this massive 碳 经济 has dislodged the 生物圈 from one of its stable 状态 that has supported human 进化 for the past two million 年."
11,"Every morning, 人们驾车 leave small country 乡镇 上班 in 路上 to go their 工作地点 and are passed by 他们擦肩而过的人 whose 工作地点 destination is the 地方 they have just left. In this dynamic 交通 shuttle everyone is somehow connected with, and supporting, a 交通 system based on private 私家车. 科学 now indicates that this massive 碳 economy has dislodged the 生物圈 from one of its stable 状态 that has supported human 进化发展 for the past two million 年.","The 原子 can be considered to be one of the fundamental 组成模块 of all 物质. Its a very complex 实体 which consists, according to a simplified 波尔 模型, of a central 原子核 orbited by 电子, somewhat similar to 行星 orbiting the 太阳 - see 图 1.1. The 原子核 consists of two 粒子 - 中子 and 质子. 质子 have a positive electric 电, while 中子 have no 电. The 电子 have a negative electric 电."
12,"The 原子 can be considered to be one of the fundamental building 模块 of all 物质. Its a very complex 实体 which consists, according to a simplified Bohr 模型, of a central 原子核 orbited by 电子, somewhat similar to 行星 orbiting the 太阳 - see 图 1.1. The 原子核 consists of two 粒子 - 质子 and 中子. 质子 have a positive electric 电 while 中子 have no 电. The 电子 have a negative electric 电.","Virtually all 计算机 in 使用 当今 are based on the 处理 of 信息 which is coded in the 形式 of binary 数字. A binary 数 can have only one of two 值, i.e. 0 or 1, and these 数字 are referred to as binary 数字 - or 位, to use 计算机 术语."
13,"Virtually all 计算机 in use today are based on the 处理 of 信息 which is coded in the 形式 of binary 编码. A binary 数 can have only one of two 值, i.e. 0 or 1, and these 数 are referred to as binary 数字 - or 位, to use 计算机 术语.","""博客 can also help improve 学生 写作. While 学生 often begin their 博客 经验 with sloppy 语法 and 拼写, the 存在 of an 观众 generally changes that. Since 学生 are often the most critical 观众, the 博客 作者 begins to strive to improve 写作 to avoid 批评. Also 写博客 """"forces 学生 to become more savvy about the 世界 around them."""" The 需要 to feed the 兴趣 of the 观众 inspires 学生 to be clever and interesting (Toto, 2004). 写博客 is a 工具 that inspires 合作, and encourages 学生 to extend 学习 well beyond the traditional 学校 日. Appropriate 使用 of 博客 """"can empower 学生 to become more analytical and critical; through actively responding to 互联网 材料, 学生 can define their 立场 in the 上下文 of 他人' 文章 as well as outline their own 观点 on particular 问题 (Oravec, 2002)."""
14,"""博客 can also help improve student 写作能力. While 学生们 often begin their 写博客 时 with sloppy 语法 and 拼写, the 读者 of an 博客 generally changes that. Since 学生 are often the most critical 读者, the 博客作者 begins to strive to improve 写作水平 to avoid 批判. Also 写博客 ""forces 学生 to become more savvy about the 周遭世界 around them."" The 为满足观众兴趣 of the 学生们 inspires 受此鼓舞, 变得聪明和有趣起来 (Toto, 2004). 写博客 is a 工具 that inspires 合作, and encourages 学生 to extend 学习 well beyond the traditional 学校授课. Appropriate 使用博客 ""can empower 学生 to become more analytical and critical; through actively responding to 网络材料, 学生们 can define their 立场 in the 上下文语境 of others' 文章 as well as outline their own 观点 on particular 问题 (Oravec, 2002).""","Asynchronous 通讯 encourages 时间 for 思考 and 反应 to 他人. It allows 学生 the 能力 to work at their own 节奏 and control the pace of instructional 信息. In 此外, there are fewer 时间 限制 with the 可能性 of flexible 工作 时间. (布雷默, 1998) The 使用 of the 互联网 and the 万维网 allows 学习者 to have 获取 to 信息 at all 时间. 学生 can also submit questions to 老师 at any time of 天 and expect reasonably quick 回复, rather than waiting until the next face-to-face 面谈."
15,"Asynchronous 通讯 encourages 思考 for 反应 and 作出反应 to others. It allows 学生 the 能够 to work at their own 节奏 and control the 节奏 of instructional 信息. In addition, there are fewer 时间 restrictions with the 实行 of flexible working 时间. (Bremer, 1998) The 使用 of the 互联网 and World Wide 网 allows 学习者 to have 获取 to 信息 at all 时间. 学生 can also submit 问题 to 老师 at any 时间 of 一天 and expect reasonably quick 回复, rather than waiting until the next face-to-face 面谈.","The traditional medieval 城堡 has long inspired the 想象力, conjuring up 画面 of 马背长矛比武, 宴会 and Arthurian 骑士精神. Even standing amidst thousand 年-old 废墟 it is easy to bring to 回想 the 声音 and 气味 of 战争 long gone, to almost hear the 碰撞声 of 马蹄 on the 鹅卵石 and to smell the 恐惧 rising from the 地牢 坑. But is our 想象 based on 现实? Why were 城堡 built in the first 地方? How were they designed and built?"
16,"The traditional medieval 城堡 has long inspired the 想象力, conjuring up 画面 of jousts, 宴会 and Arthurian 骑士精神. Even standing amidst thousand year-old 废墟 it is easy to bring to 回想 the 声音 and 气味 of 战争 long gone, to almost hear the 碰撞声 of 马蹄 on the 鹅卵石 and to smell the 恐惧气息 rising from the 地牢坑. But is our 想象 based on 现实依据? Why were 城堡 built in the first 最初? How were they designed and built?","Typical for the 时期, 克尔比 墨斯鲁 城堡 is more of a fortified 房屋 than a true 城堡. Its large glazed 玻璃窗 and thin 墙 would not have been able to resist a determined 攻击 for long. In the 15世纪80年代, when its 建造 was begun by 黑斯廷斯勋爵, the 国家 was relatively peaceful and 防御 was only required against small 群 of roving 抢掠者."
17,"The quick brown 狐狸 jumps over the lazy 狗. Typical for the 那段时期, Kirby Muxloe 城堡 is more of a fortified 房屋 than a true 城堡. Its large glazed 窗 and thin 墙 would not have been able to resist a determined 攻击 for long. In the 1480s, when its 建造 was begun by Lord Hastings, the 国家 was relatively peaceful and 防御 was only required against small 群 of roving 抢掠者.","With the 转变 from the 四分之一英里 to the 半英里 赛跑, 速度 becomes of much less 重要 and 耐力 becomes an absolute 必要. Of 当然 a first-class 半英里跑步选手, a 人 who can beat two 分钟, must be possessed of a fair 量 of 速度, but 耐力 must be cultivated at all 代价. Some 越野 跑 during the 冬季, combined with 健身 锻炼 for the upper part of the 身体, is the best 准备 for the 跑步 季."
18,"With the 转变 from the 四分之一英里 to the half 英里 赛跑, 速度 becomes of much less 重要 and 耐力 becomes an absolute 重要的因素. Of course a first-class half-miler, a 选手 who can beat two 分钟, must be possessed of a fair 足够快的 速度, but 耐力 must be cultivated at all 代价. Some cross 越野跑 练练 during the 冬季, combined with 健身锻炼 for the upper 半身 of the 身体, is the best 准备 for the 跑步 季.","Proper nutritional 实践 alone cannot generate elite 表现, but they can significantly affect young 运动员' overall 健康状况. Maintaining a healthy 能量 平衡, practicing effective 补充水分 习惯, and understanding the various 方面 of 营养补品 实践 can help 运动员 improve their 表现 and increase their 乐趣 of the 运动."
19,"Proper nutritional 营养实践 alone cannot generate elite 表现, but they can significantly affect young 运动员' overall 健康状况. Maintaining a healthy 能量 平衡, practicing effective 补充水分 习惯, and understanding the various 方面 of 合理使用 营养补品 can help 运动员们 improve their 表现 and increase their 乐趣 of the 运动.","Middle 中长跑 is a relatively inexpensive 运动; however, there are many 误解 regarding the few 件 of 装备 required to participate. 产品 can be purchased as needed, but most will have little or no real 影响 on 成绩. 运动员 may feel that they prefer a 产品 even when it provides no real 益处."
20,"Middle distance 中长跑 is a relatively inexpensive 运动; however, there are many 误解 regarding the few 装备 of 产品 required to participate. 产品 can be purchased as needed, but most will have little or no real 影响 on 成绩. 运动员 may feel that they prefer a 产品 even when it provides no real 益处.","磁共振成像 is based on a 物理 现象 called nuclear magnetic 共振 (核磁共振), which was discovered in the 30年代 by 费利克斯·布洛赫 (working at 斯坦福大学) and 爱德华·珀塞耳 (from 哈佛大学). In this 共振, magnetic 场 and 无线电 波 cause 原子 to give off tiny 无线电 信号. In the 年 1970, 雷蒙德·达马迪安, a medical 博士 and 研究 科学家, discovered the 基础 for using magnetic resonance 成像 as a 工具 for medical 诊断. Four 年 later a 专利 was granted, which was the 世界's first 专利 issued in the field of 磁共振成像. In 1977, 达马迪安 博士 completed the 制造 of the first ""全身"" 磁共振成像 扫描仪, which he called the ""不屈号""."
21,"MRI is based on a 物理现象 called nuclear magnetic resonance (NMR), which was discovered in the 1930s by Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University). In this 共振, 磁场 and 无线电波 cause 原子 to give off tiny radio 信号. In the 年, Raymond Damadian, a medical 博士 and research 科学家, discovered the 基础原理 for using magnetic resonance 成像 as a 工具 for medical 诊断. Four 年 later a 专利 was granted, which was the world's first 专利 issued in the 领域 of MRI. In 1977, Dr. Damadian completed the 制造 of the first ""whole-body"" MRI 扫描仪, which he called the ""Indomitable"".","人类 are by far the most talented 物种 in reading the 心思 of 他人. That means we are able to successfully predict what other 人 perceive, intend, believe, know or desire. Among these 能力, understanding the 意图 of others is crucial. It allows us to resolve possible 模棱两可 of physical 行为. For 例如, if you were to see 有人 breaking a 汽车 窗, you would probably assume he was trying to steal a 陌生人's 汽车. He would need to be judged differently if he had lost his car 钥匙 and it was his own 汽车 that he was trying to break into."
22,"Humans are by far the most talented 物种 in reading the 心思 of others. That means we are able to successfully predict what other 人 perceive, intend, believe, know or desire. Among these abilities, understanding the 意图 of others is crucial. It allows us to resolve possible ambiguities of physical 行为. For 例如, if you were to see someone breaking a 车窗, you would probably assume he was trying to steal a stranger's 汽车. He would need to be judged differently if he had lost his 车钥匙 and it was his own 汽车 that he was trying to break into.","Although 人工智能 has a strong 科幻色彩 of 科学 小说, 人工智能 forms a very important 分支 of 计算机 科学, dealing with 行为, 学习 and intelligent 适应 in a 机器. 研究 in 人工智能 involves making 机器 to automate 任务 that require intelligent 行为. 例子 include 控制, 规划 and 调度, the 能力 to answer 客户 诊断 and 问题, as well as 手写 识别, 声音 and 脸部. Such 东西 have become separate 学科, which focus on providing 解决方案 to real 生活 问题. The 人工智能系统 is now often used in the 领域 of 经济, 医学, 工程学 and the 军事, as has been built in several 家用 计算机 and 电子游戏 软件 应用程序."
23,"Although AI has a strong 科幻色彩, AI forms a very important 分支 of computer 科学, dealing with 机器的行为、学习 and intelligent 适应 in a 计算机. 研究 in AI involves making 机器 to automate 任务 that require intelligent 行为. 例子 include 控制、规划 and 调度, the 能力 to answer 客户诊断 及 客户问题, as well as 手写识别, 声音 and 脸部功能. Such 这些 have become separate 学科, which focus on providing 解决方案 to real 生活中的问题. The AI 系统 is now often used in the 经济、医学、工程学 and the 军事领域, as has been built in several home 计算机 and 电子游戏软件应用程序 已经有内置的人工智能系统.","Convergent 思维 模式 are 问题 解决 技巧 that unite different 想法 or 领域 to find a 解决方案. The 重点 of this 思维模式 is 速度, 逻辑 and 准确性, also 甄别 事实, reapplying existing 技巧, gathering 信息. The most important 因素 of this 思维模式 is: there is only one correct 答案. You only think of two 答案, namely right or wrong. This 类型 of 思维 is associated with certain 科学 or standard 程序. 人 with this type of 思维 have logical thinking, are able to memorize 模式, solve 问题 and work on scientific 测试."
24,"Convergent thinking 模式 are problem solving 技巧 that unite different 想法 or 领域 to find a 解决方案. The 看重 of this 思维模式 is speed, 逻辑 and accuracy, also identification of 事实, reapplying existing 技术, gathering 信息. The most important 因素 of this 思维模式 is: there is only one correct 答案. You only think of two 答案, namely right or wrong. This 思维模式 of thinking is associated with certain 科学 or standard 程序. 人 with this 思维类型 of thinking have logical thinking, are able to memorize 模式, solve 问题 and work on scientific 测试.","The 使用 of 录像 录像 has led to important 发现 in the 阐释 of 微表情, facial 运动 which last a few 毫秒. In particular, it is claimed that one can detect whether a 人 is lying by interpreting 微表情 correctly. 奥利弗·萨克斯, in his 论文 The 总统's 演讲, indicated how 人 who are unable to understand 语言 because of 脑 损伤 are nevertheless able to assess 诚意 accurately. He even suggests that such 能力 in interpreting human 行为 may be shared by 动物 such as domestic 家犬."
25,"The use of 录像 has led to important 发现 in the 阐释 of micro-expressions, facial 运动 which last a few milliseconds. In particular, it is claimed that one can detect whether a 人 is lying by interpreting micro-expressions correctly. Oliver Sacks, in his 论文 The President's Speech, indicated how 人 who are unable to understand 语言 because of 脑损伤 are nevertheless able to assess 说话人 accurately. He even suggests that such 能力 in interpreting human 行为 may be shared by 动物 such as domestic 家犬.","As the 能力 to obtain 知识 and to learn changed in such a 方式 as mentioned above the 基本 速率 at which 知识 was obtained changed. The 方法 to obtaining 信息 was different. No longer did 压力 reside within individual 回忆, but the ability to recall 文本 became more of a 重点. In 本质, the 文艺复兴 made a significant 变化 in the 方法 to 学习 and the 传播 of 知识."
26,"As the 能力 to obtain 知识 and to learn changed in such a 变化 as mentioned above the base 速率 at which 知识 was obtained changed. The 方法 to obtaining 信息 was different. No longer did 压力 reside within individual 回忆 but the 能力 to recall 文本 became more of a 重要. In essence, the 文艺复兴 made a significant 变化 in the 方式 to learning and the 传播 of 知识.","The 互联网 combines 要素 of both mass and interpersonal 传播. The distinct 特点 of the 互联网 lead to additional 维度 in 方面 of the 用途 and 满足方式 approach. For 例如, ""学习"" and ""交际"" are suggested as important 动机 for 互联网 use (詹姆斯 et al., 1995). ""个人参与"" and ""持续的关系"" were also identified as new 动机 因素 by 艾麦 and 麦克德 (1998) when they investigated 受众 反应 to 网站."
27,"The 互联网 combines elements of both mass and interpersonal 传播. The distinct 特点 of the 互联网 lead to additional 维度 in terms of the uses and gratifications 方式. For example, ""学习"" and ""交际"" are suggested as important 动机 for 互联网 use (James et al., 1995). ""个人参与"" and ""持续的关系"" were also identified as new 动机 aspects by Eighmey and McCord (1998) when they investigated 受众 reactions to 网站.","Gothic 风格 peaked in the 时期 between the 10th - 11th 世纪 and the 14th 世纪. At the 开始 裙装 was heavily influenced by the Byzantine 文化 in the 东方. However, due to the slow 交流 渠道, 时尚 in the 西方 could lag behind by 25 to 30 年. towards the 末期 of the 中世纪 western 欧洲 began to develop their own 风格. one of the biggest 进步 of the 时间 as a 结果 of the 十字军东征 人们 began to use 纽扣 to fasten 衣服."
28,"Gothic style peaked in the 起初 between the 10th - 11th centuries and the 14th 世纪. At the 起初 dress was heavily influenced by the Byzantine 文化 in the east. However, due to the slow 文化交流 channels, styles in the west could lag behind by 25 to 30 year. towards the 末期 of the Middle Ages western Europe began to develop their own 风格. one of the biggest 进步 of the 时期 as a 结果 of the 十字军东征 began to use 纽扣 to fasten 衣服.","We can start living more friendly to the 环境, we can join to the environmental 运动, and we can even be 积极分子 in order to reduce the future 灾难 in some 程度. This is just like symptomatic 疗法 in many 情况. However, if we do not only want a temporary 解决方案, then we should find the 根源 of the 问题, and we should deactivate them. It is obvious enough that the 世界 has changed much because of 人类's scientific and technological 进步, and 问题 have become greater because of 人口过剩 and 人类's extravagant 生活方式."
29,"We can start living more friendly to the 环境, we can join to the environmental 运动, and we can even be 环保积极分子 in order to reduce the future 灾难 in some 程度. This is just like symptomatic 疗法 in many 情况. However, if we do not only want a temporary 解决方案, then we should find the 根源 of the 问题, and we should deactivate them. It is obvious enough that the 世界 has changed much because of humankind's scientific and technological 进步, and 问题 have become greater because of 人口过剩 and mankind's extravagant 生活方式.","The 权力的平衡 was a 制度 in which European 国家 sought to maintain the national 主权 of all European 国家. The 理念 was that all European 国家 had to seek to prevent one 国家/地区 from becoming powerful, and thus national 政府 often changed their 盟友 in 顺序 to maintain the 平衡. The 战争 of Spanish 继承权 marked the first 战争 whose central 问题 was the 权力的平衡. This marked an important 变化, as European 大国 would no longer have the 借口 of being religious 战争. Thus, the Thirty 年 战争 would be the last 战争 to be labeled a religious 战争."
30,"The 权力的平衡 of 欧洲 was a 制度 in which European 国家 sought to maintain the national 主权 of all European 国家. The 理念 was that all European 国家 had to seek to prevent one 国家 from becoming powerful, and thus national 政府 often changed their 盟友 in order to maintain the 平衡. The 西班牙继承权之战 marked the first 战争 whose central 问题 was the 权力平衡. This marked an important 变化, as European 大国 would no longer have the 借口 of being religious 战争. Thus, the Thirty Years' 战争 would be the last 战争 to be labeled a religious 战争.","During this 时期 of European 历史, the 天主教会, which had become rich and powerful, came under 监督. For over a thousand 年 the Christian 宗教 had bound European 国家 together despite 差异 in 语言 and 习俗. Its all-pervading 力量 affected 每一个人 from 国王 to 平民. One of the main Christian 信条 is that 财富 should be used to alleviate 痛苦 and 贫困 and that the monetary 基金 of the 教会 are there specifically for that 原因. The central 权力 of the 教会 had been in 罗马 for over a thousand 年 and this 集中 of 权力 and 钱 led many to question whether this 信条 was being met."
31,"During this 时期 of European 历史, the Catholic 教会, which had become rich and powerful, came under 密切监督. For over a thousand years the Christian 信仰 had bound European 各国 together despite differences in 语言 and 习俗. Its all-pervading 力量 affected everyone from 国王 to 平民. One of the main Christian 信条 is that 财富 should be used to alleviate 痛苦 and 贫困 and that the monetary 基金 of the 教会 are there specifically for that 目的. The central 集权制 of the 教会 had been in Rome for over a thousand years and this 集中 of 权力 and 金钱 led many to question whether this 信条 was being met.","The terrified 国王 路易 XVI, 王后 玛丽·安托瓦内特 their two young 孩子 (11 岁 old 玛丽·特蕾莎 and four 岁 old 路易斯·查尔斯) and the King's 妹妹, 伊丽莎白夫人, on the 6th 10月 1789 were forced back to 巴黎 from 凡尔赛 by a 暴民 of 集市妇女. In a 马车, they traveled back to 巴黎 surrounded by a 暴民 of 人 screaming and shouting 威胁 against the 国王 and 王后. The 暴民 of 人 forced the 国王 And 王后 to have their 马车 窗户 wide open. At one 点 a 成员 of the 暴民 waved the 头颅 of a royal 卫士 killed at 凡尔赛 in 前 of the terrified 王后."
32,"The terrified 国王路易十六、王后玛丽·安托瓦内特, 和他们的 two young 孩子 (11 year old 玛丽·特蕾莎 and four year old 路易斯·查尔斯) and the 国王's 妹妹, 伊丽莎白夫人, on the 6th 10月 1789 were forced back to 巴黎 from 凡尔赛 by a 群 of 集市妇女. In a 马车, they traveled back to 巴黎 surrounded by a 群 of 人 screaming and shouting 威胁 against the 国王 and 王后. The 暴民 of 人 forced the 国王 and 王后 to have their 马车 窗户 wide open. At one 度 a 暴徒 of the 人 waved the 头颅 of a royal 卫士 killed at 凡尔赛宫 in front of the terrified 女王.","Soon after the 敌对行动爆发 of 敌对行动, 英国 initiated a naval 封锁 of 德国. The 战略 proved effective, cutting off vital military and civilian 物资, although this 封锁 violated generally accepted international 法 codified by several international 协定 of the past two 世纪. 英国 mined international 水域 to prevent any 船只 from entering entire 海域 of 海域, causing 威胁 to even neutral 船只. Since there was limited 响应 to this 战略, 德国 expected a similar 响应 to its unrestricted 潜艇 战争."
33,"Soon after the 敌对行动爆发, 英国 initiated a naval 封锁 of 德国. The 战略 proved effective, cutting off vital military and civilian 物资供应, although this 封锁 violated generally accepted international 法 codified by several international 协定 of the past two 世纪. 英国 mined international 水域 to prevent any 船只 from entering entire 海域 of 海域, causing 威胁 to even neutral 国. Since there was limited 响应 to this 战略, 德国 expected a similar 响应 to its unrestricted submarine 战.","Across the 美国 of 美国, there are approximately 400,000 known 病例 of Multiple 硬化症 (MS), leaving it as the leading neurological 疾病 in younger and middle aged 成年人. MS is a 疾病 that affects the central nervous 系统, which is made up of the 脑, the spinal 脊髓 and the optic 神经. 研究 has found that 女性 are two 倍 more likely to have MS then 男性."
34,"Across the United States of America, there are approximately 400,000 known 病例 of Multiple Sclerosis (MS), leaving it as the leading neurological 疾病 in younger and middle aged 中青年. MS is a 疾病 that affects the central nervous 系统, which is made up of the 脑, the spinal 脊髓 and the optic 视神经. 研究 has found that 女性 are two times more likely to have MS then 男性.","The 研究 found that 抑郁, 恐惧 and 把病情灾难化的情绪 mediated the 关系 between 疼痛 and 残疾 in lower 腰 pain 患者. Only the 影响 of 杞人忧天思维, not 抑郁 and 恐惧 was conditional of regular weekly structured 体育锻炼 会话. Those participating in regular 活动 required more 支持 in 方面 of negative 感知 of 疼痛 distinguishing the 区别 of chronic 疼痛 and 不适感 from normal physical 运动."
