,claude,gpt4o
10,"مستعمرات النمل المجند تسير وتعشش في مراحل مختلفة أيضاً. In the مرحلة التنقّل, جيوش النمل تسير at الليل and stop to camp during النهار. The مستعمرة begins a مرحلة التنقّل when available الغذاء has decreased. During this phase, the مستعمرة makes أعشاش مؤقتة that are changed everyday. Each of these الاقتحامات or المسيرات lasts for approximately 17 يومًا.",المجند النمل مستعمرات تسير وتعشش في مراحل مختلفة أيضاً. في مرحلة التنقّل، جيوش النمل تسير في الليل، وتتوقّف للعسكرة أثناء النهار. تبدأ المستعمرة في مرحلة الترحال عندما يقل الغذاء المتاح. خلال هذه المرحلة، تقوم المستعمرة بعمل أعشاش مؤقتة تتغير كل يوم. استمرت كل من هذه الاقتحامات أو المسيرات التي يقوم بها البدو الرُحل لمدة 17 يومًا تقريبًا.
11,"مستعمرات النمل المجند تسير وتعشش في مراحل مختلفة أيضاً. In the مرحلة التنقّل, جيوش النمل تسير at الليل and stop to camp during النهار. The مستعمرة begins a مرحلة التنقّل when available الغذاء has decreased. During this phase, the مستعمرة makes أعشاش مؤقتة that are changed everyday. Each of these الاقتحامات or المسيرات lasts for approximately 17 يومًا.",مستعمرات النمل المجند تسير وتعشش في مراحل مختلفة أيضاً. في مرحلة التنقّل، جيوش النمل تسير في الليل، وتتوقّف للعسكرة أثناء النهار. تبدأ المستعمرة في مرحلة الترحال عندما يقل الغذاء المتاح. خلال هذه المرحلة، تقوم المستعمرة بعمل أعشاش مؤقتة تتغير كل يوم. استمرت كل من هذه الاقتحامات أو المسيرات لمدة 17 يومًا تقريبًا.
12,"Many observed الإيقاعات in علم وظائف الأعضاء and والسلوك often crucially depend on وجود endogenous دورات and their إنتاجها through biological الساعات. Periodic الإيقاعات, which are not simply استجابات to external periodic إشارات, have been documented for most الكائنات الحية, including البكتيريا, الفطريات, النباتات, and الحيوانات. Biological الساعات are ذاتية متذبذبات which will continue a فترات of free-running الدورات even in the عدم وجود of external cues.",كثير من الإيقاعات المرصودة في علم وظائف الأعضاء والسلوك بشكل حاسم في كثير من الأحيان يعتمد على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية. تم توثيق الإيقاعات الدورية، التي ليست مجرد استجابات للإشارات الدورية الخارجية، لمعظم الكائنات الحية، بما في ذلك الخاصة بالبكتيريا والفطريات والنباتات والحيوانات. الساعات البيولوجية هي متذبذبات ذاتية ستستمر لفترات من الدورات المتتابعة حتى في حالة عدم وجود مؤثراتٍ خارجية.
13,السكان is the مجموعة of الكائنات الحية of a particular نوع within a given geographic منطقة. When all الأفراد in a السكان are identical with يتعلق to a particular phenotypic سمة they are known as monomorphic. When the الأفراد show several متغيرات of a particular سمة they are polymorphic.,"A ""السكان"" is the مجموعة of الكائنات الحية of a نوع معين داخل a given منطقة جغرافية معينة. عندما يكون جميع الأفراد in a ""السكان"" are identical فيما يتعلق بسمة ظاهرية معينة, they are known as monomorphic. عندما يُظهر الأفراد بضعة متغيرات لسمة محددة, فهُم متعددو الأشكال."
14,السكان is the مجموعة of الكائنات الحية of a particular نوع within a given geographic منطقة. When all الأفراد in a السكان are identical with يتعلق to a particular phenotypic سمة they are known as monomorphic. When the الأفراد show several متغيرات of a particular سمة they are polymorphic.,"A ""السكان"" is the مجموعة of الكائنات of a نوع معين داخل a given منطقة جغرافية معينة. عندما يكون جميع الأفراد في a ""السكان"" متطابقين فيما يتعلق بسمة ظاهرية معينة، فيطلق على هؤلاء الأفراد مسمى ""أحاديو الشكل"". عندما يُظهر الأفراد بضعة متغيرات لسمة محددة، فهُم متعددو الأشكال."
15,"السياحة الطبيعيّة attracts الناس interested in visiting المناطق for the بغرض of enjoying المناظر، including النباتيّة and الحيوانيّة wildlife. الأمثلة of on-الموقع الأنشطة include الصيد، صيد الأسماك، التصوير، مشاهدة الطيور، visiting الحدائق، and studying المعلومات about the النظام البيئي. An مثالٌ is زيارة, photographing, and learning about إنسان الغاب in بورنيو.",السياحة الطبيعيّة تجذب الناس المهتمّين بزيارة المناطق الطبيعيّة بغرض الاستمتاع بالمناظر، بما فيها الحياة البريّة النباتيّة والحيوانيّة. تتضمن الأمثلة على الأنشطة التي يمكن القيام بها في الموقع الصيد، وصيد الأسماك، والتصوير، ومشاهدة الطيور، وزيارة الحدائق، ودراسة المعلومات عن النظام البيئي. مثالٌ على ذلك هو زيارة، وتصوير، ومعرفة المعلومات عن الغاب في بورنيو.
16,"Every صباح, الناس leave small المدن الصغيرة in سياراتهم to go their عملهم and are passed by الآخرون whose عملهم الطريق is the المكان they have just left. In this dynamic النقل حركة الجميع is somehow connected with, and supporting, a نقل منظومة based on private سياراتهم. العلم now indicates that this massive الكربون الاقتصاد has dislodged the المحيط الحيوي from one of its stable حالاته that has supported human التطور for the past المليوني سنةٍ.","Every يُغادر, الناس leave small المدن في سياراتهم to go their عملهم ويقابلهم في الطريق الآخرون العاملون في المكان الذي غادروه للتو. في حركة النقل المفعمة بالحيويّة هذه، الجميع يدعم نوعاً ما عبر منظومة نقل أساسها السيّارات الخاصّة ويتصل خلالها. يشير العلم الآن إلى أن هذا الاقتصاد الضخم المعتمد على الكربون قد أزاح المحيط الحيوي من إحدى حالاته المستقرة التي دعمت التطور البشري على مدى المليوني سنةٍ الماضية."
17,"The الذرة can be considered to be one of the fundamental وحدات البناء of all المواد. Its a very complex كيان which consists, according to a simplified نموذج بور, of a central نواة orbited by الإلكترونات, somewhat similar to الكواكب orbiting the الشمس - see الشكل 1.1. The نواة consists of two جسيمين - النيوترونات and البروتونات. البروتونات have a positive electric شحنة while النيوترونات have no شحنة. The الإلكترونات have a negative electric charge.",الذرة يُمكن اعتبارها واحدة من وحدات البناء الأساسية لكل المواد. إنه كيان معقد للغاية يتكون، وفقًا لنموذج بور البسيط، من نواة مركزية تدور حولها الإلكترونات، تشبه إلى حد ما الكواكب التي تدور حول الشمس - انظر الشكل 1.1. تتكون النواة من جسيمين - النيوترونات والبروتونات. للبروتونات شحنة كهربية موجبة بينما النيوترونات ليس لها شحنة. الإلكترونات فشحنتها سالبة.
18,"The الذرة can be considered to be one of the fundamental وحدات البناء of all المواد. Its a very complex كيان which consists, according to a simplified نموذج بور, of a central نواة orbited by الإلكترونات, somewhat similar to الكواكب orbiting the الشمس - see الشكل 1.1. The نواة consists of two جسيمين - النيوترونات and البروتونات. البروتونات have a positive electric شحنة while النيوترونات have no شحنة. The الإلكترونات have a negative electric charge.",الذرة يمكن اعتبارها واحدة من وحدات البناء الأساسية لكل المواد. إنه كيان معقد للغاية يتكون، وفقًا لنموذج بور البسيط، من نواة مركزية تدور حولها الإلكترونات، تشبه إلى حد ما الكواكب التي تدور حول الشمس - انظر الشكل 1.1. تتكون النواة من جسيمين - النيوترونات والبروتونات. للبروتونات شحنة كهربية موجبة بينما النيوترونات ليس لها شحنة. الإلكترونات فشحنتها سالبة.
19,"Virtually all الحاسوبِ in المستخدمة اليوم are based on the معالجة of المعلومات which is coded in the شكل of binary أرقامٍ. A binary الرقم can have only one of two قيمتين،, i.e. 0 or 1, and these الأرقام are referred to as binary أرقام - or بتّات, to use الحاسوب الاصطلاحية.",Virtually all الحاسوبِ المستخدمة اليوم are based on the معالجة المعلومات المشفرة in شكل أرقامٍ ثُنائية. A الرقم الثنائي can have only واحدة من قيمتين، وهما 0 أو 1، ويُشار إلى هذه الأرقام على أنها أرقام ثنائية - أو بتّات، إذا استخدمنا لغة الحاسوب الاصطلاحية.
20,"Virtually all الحاسوبِ in المستخدمة اليوم are based on the معالجة of المعلومات which is coded in the شكل of binary أرقامٍ. A binary الرقم can have only one of two قيمتين،, i.e. 0 or 1, and these أرقام are referred to as binary أرقام - or بتّات, to use الحاسوب الاصطلاحية.",افتراضياً جميعُ الحاسوبِ المستخدمة اليوم افتراضياً على معالجة المعلومات المشفرة في شكل أرقامٍ ثُنائية. يمكن أن تكون قيمة الرقم الثنائي قيمة واحدة فقط من قيمتين، وهما 0 أو 1، ويُشار إلى هذه الأرقام على أنها أرقام ثنائية - أو بتّات، إذا استخدمنا لغة الحاسوب الاصطلاحية.
21,"""المدونات can also help improve كتابة الطلاب. While الطلاب often begin their تجربة المدونات with sloppy قواعد نحوية وإملائية, the وجود of an جمهور generally changes that. Since الطلاب are often the most critical جمهور, the كاتب المدونة begins to strive to improve الكتابة to avoid الانتقاد. Also التدوين """"ترغم الطلاب to become more ذكاء about العالم around حولهم"""". The الحاجة to feed the اهتمام of the جمهور inspires الطلاب to be clever and interesting (توتو, 2004). التدوين is a أداة that inspires التعاون, and encourages الطلاب to extend التعلم well beyond the traditional اليوم الدراسي. Appropriate الاستخدام of المدونات """"can empower الطلاب to become more تحليلاً ونقداً؛ through actively responding to مواد الإنترنت, الطلاب can define their مواقفهم in the سياق of كتابات الآخرين as well as outline their own آراء on particular قضايا (أورافيك, 2002).""","""للمدونات can also help improve الطلاب. While الطلاب often begin their المدونة تجربتهم with sloppy نحوية و إملائية, the وجود جمهور generally changes that. Since الطلاب are often the الأكثر انتقاداً جمهور, the كاتب المدونة begins to strive to improve الكتابة لتجنب الانتقاد. Also المدونة """"forces الطلاب to become more ذكاء حول العالم من حولهم."""" The الحاجة to تغذية اهتمام الجمهور inspires الطلاب to be ذكاء ومفيدين (Toto، 2004). التدوين is a أداة that inspires التعاون, and encourages الطلاب to extend التعلم well beyond the التقليدي. الدراسي اليوم. Appropriate الاستخدام of المدونات """"can empower الطلاب to become more تحليلاً ونقداً؛ through actively الاستجابة to الإنترنت، المواد, الطلاب can تحديد مواقفهم in the سياق كتابات الآخرين as well as outline their الخاصة آرائهم on معينة قضايا (Oravec, 2002)."""
22,"المدونات can also help improve كتابة الطلاب. While الطلاب often begin their تجربة المدونات with sloppy نحو and إملاء, the وجود of an جمهور generally changes that. Since الطلاب are often the most critical جمهور, the كاتب المدونة begins to strive to improve الكتابة to avoid الانتقاد. Also التدوين ""forces الطلاب to become more savvy about العالم around them."" The الحاجة to feed the اهتمام of the جمهور inspires الطلاب to be clever and interesting (توتو, 2004). التدوين is a أداة that inspires التعاون, and encourages الطلاب to extend التعلم well beyond the traditional اليوم الدراسي. Appropriate استخدام of المدونات ""can empower الطلاب to become more تحليلاً and نقداً; through actively responding to مواد الإنترنت, الطلاب can define their مواقف in the سياق of كتابات الآخرين as well as outline their own آراء on particular قضايا (أورافيك, 2002).""","""للمدونات can also help improve الطلاب. While الطلاب often begin their المدونة تجربتهم with sloppy نحوية و إملائية, the وجود جمهور generally changes that. Since الطلاب are often the الأكثر انتقاداً جمهور, the كاتب المدونة begins to strive to improve الكتابة لتجنب الانتقاد. Also المدونة """"ترغم الطلاب على أن يصبحوا أكثر ذكاء حول العالم من حولهم."""" The الحاجة to تغذية اهتمام الجمهور تلهم الطلاب على أن يكونوا بارعين ومفيدين (Toto، 2004). التدوين هو أداة تلهم التعاون، وتلهم الطلاب على توسيع التعلم إلى ما بعد اليوم الدراسي التقليدي. إن الاستخدام المناسب للمدونات """"يمكن أن يمكن الطلاب من أن يصبحوا أكثر تحليلاً ونقداً؛ من خلال الاستجابة الفعّالة للمواد على شبكة الإنترنت، يمكن للطلاب تحديد مواقفهم في سياق كتابات الآخرين بالإضافة إلى تحديد آرائهم الخاصة بشأن قضايا معينة (Oravec, 2002)."""
23,"Asynchronous الاتصال encourages الوقت for للتأمل and والتفاعل to الآخرين. It allows الطلاب the القدرة to work at their own لسرعتهم and control the وتيرة of المعلومات التعليمية. In علاوة على ذلك، there are fewer قيود زمنية with the إمكانية of flexible عمل ساعات. (بريمر، 1998) The استخدام of الإنترنت and the الشبكة العنكبوتية العالمية allows المتعلمين to have الوصول to المعلومات at all أي وقت. الطلاب can also submit questions to المدرسين at any وقت of اليوم and expect reasonably quick إجابات, rather than waiting until the next وجهاً لوجه الاجتماع.",Asynchronous الاتصال encourages الوقت للتأمل والتفاعل تجاه الآخرين. It allows للطلاب القدرة على العمل وفقاً لسرعتهم الخاصة والتحكم في وتيرة المعلومات التعليمية. علاوة على ذلك، يوجد قيود زمنية أقل مع إمكانية عمل ساعات مرنة. (بريمر، 1998) استخدام الإنترنت والشبكة العنكبوتية العالمية يتيح للمتعلمين الوصول إلى المعلومات في أي وقت. للطلاب أيضاً إرسال أسئلة إلى المدرسين في أي وقت من اليوم وتوقع إجابات سريعة بشكل معقول، بدلاً من الانتظار حتى الاجتماع التالي وجهاً لوجه.
24,"Asynchronous الاتصال encourages الوقت for للتأمل and والتفاعل to الآخرين. It allows الطلاب the القدرة to work at their own لسرعتهم and control the وتيرة of المعلومات التعليمية. In علاوة على ذلك، there are fewer قيود زمنية with the إمكانية of flexible عمل ساعات. (بريمر، 1998) The استخدام of الإنترنت and the الشبكة العنكبوتية العالمية allows المتعلمين to have الوصول to المعلومات at all أي وقت. الطلاب can also submit questions to المدرسين at any وقت of اليوم and expect reasonably quick إجابات, rather than waiting until the next وجهاً لوجه الاجتماع.",Asynchronous الاتصال encourages الوقت للتأمل والتفاعل تجاه الآخرين. It allows للطلاب القدرة على العمل وفقاً لسرعتهم الخاصة والتحكم في وتيرة المعلومات التعليمية. علاوة على ذلك، يوجد قيود زمنية أقل مع إمكانية عمل ساعات مرنة. (بريمر، 1998) استخدام الإنترنت والشبكة العنكبوتية العالمية يتيح للمتعلمين الوصول إلى المعلومات في أي وقت. للطلاب أيضاً إرسال أسئلة إلى المدرسين في أي وقت من اليوم وتوقع إجابات سريعة بشكل معقول، بدلاً من الانتظار حتى الاجتماع التالي وجهاً لوجه.
25,"The traditional medieval القلعة has long inspired الخيال, conjuring up صوراً of للمبارزات،, والولائم، and Arthurian وفروسية. Even standing amidst thousand سنة آثار it is easy to bring to ذهنك the أصوات and روائح of المعارك long gone, to almost hear the الثرثرة of القلنسوة on the الحصى and to smell the الخوف rising from the الزنزانة حفر. But is our imagination based on الواقع؟ Why were القلاع built in the first الأصل؟ How were they designed and built?","The traditional medieval القلعة has long inspired the الخيال, conjuring up صوراً of المبارزات, والولائم، and آرثر. Even standing amidst thousand سنة، old آثار it is easy to bring to ذهنك the أصوات and وروائح of المعارك long gone, to almost hear the الثرثرة of القلنسوة on the الحصى and to نشم the الخوف rising from the الزنزانة. But is our مخيلتنا based on الواقع؟ Why were القلاع built in the الأصل؟ How were they تصميمها وبناؤها؟"
26,"The traditional medieval القلعة has long inspired الخيال, conjuring up صوراً of للمبارزات،, والولائم، and Arthurian وفروسية. Even standing amidst thousand سنة آثار it is easy to bring to ذهنك the أصوات and روائح of المعارك long gone, to almost hear the الثرثرة of القلنسوة on the الحصى and to smell the الخوف rising from the الزنزانة حفر. But is our imagination based on الواقع؟ Why were القلاع built in the first الأصل؟ How were they designed and built?","The traditional medieval القلعة has long inspired the الخيال, conjuring up صوراً of المبارزات, والولائم، and آرثر. Even standing amidst thousand سنة، old آثار it is easy to bring to ذهنك the أصوات and روائح of المعارك long gone, to almost hear the الثرثرة of القلنسوة on the الحصى and to smell the الخوف rising from the الزنزانة. But is our مخيلتنا based on الواقع? Why were القلاع built in the first الأصل؟ How were they تصميمها وبناؤها؟"
27,"Typical for the فترة، قلعة ""كيربي موكسلو"" is more of a fortified منزلاً than a true قلعة. Its large glazed نوافذها and thin أسوارها would not have been able to resist a determined هجوماً for long. In the ثمانينيات القرن الرابع عشر 1480، when its بنائه، was begun by اللورد هاستينجز, the بلاد was relatively peaceful and الدفاع was only required against small مجموعات of roving اللصوص.","Typical for the الفترة، """"كيربي موكسلو"""" قلعة is more of a fortified منزلاً than a true قلعة. Its large glazed نوافذها and thin أسوارها would not have been able to resist a determined هجوماً for long. In ثمانينيات القرن الرابع عشر 1480، when its بنائه، was begun by اللورد هاستينجز، the البلاد was relatively peaceful and الدفاع was only required against small مجموعات of roving المتجولين."
28,"Typical for the فترة، Kirby Muxloe قلعة is more of a fortified منزلاً than a true قلعة. Its large glazed نوافذها and thin أسوارها would not have been able to resist a determined هجوماً for long. In the ثمانينيات القرن الرابع عشر 1480، when its بنائه، was begun by اللورد Hastings, the بلاد was relatively peaceful and الدفاع was only required against small مجموعات of roving اللصوص.","نموذجية لهذه الفترة، """"كيربي موكسلو"""" قلعة هي أكثر من منزلاً محصناً من كونها قلعة حقيقية. نوافذها الكبيرة المصقولة وأسوارها الرقيقة لم تكن لتقاوم هجوماً مدججاً لفترة طويلة. في ثمانينيات القرن الرابع عشر 1480، عندما بدأ اللورد هاستينجز في بنائه، كانت البلاد هادئة نسبيًا وكان الدفاع مطلوبًا فقط ضد مجموعات صغيرة من اللصوص المتجولين."
